课题名称	批准号	学科分类	项目负责人	职称	单位	金额	项目类别	研究期限	中文主题词	英文主题词	中文摘要	英文摘要	
国家自然科学基金委员会微生物学科代码系统及关键词修订	31842003	 (  )	东秀珠		中国科学院微生物研究所	20.00万元	应急管理项目	2018 年 01 月 01 日 至 2018 年 12 月 31 日					
獐的肠道微生物与发育和食性的关系	31872250	 (  )	陈珉		华东师范大学	58.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
基于微生物电解电池的BOD传感器基础研究	21806126	环境分析化学 ( B060101 )	唐新华		武汉理工大学	24.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
空气微生物快速采样-实时检测一体化技术研究	61875159	生物、医学光学成像仪器及应用 ( F051214 )	张镇西		西安交通大学	63.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
不可培养微生物中新铬还原酶基因的开发与应用	31870082	陆生环境微生物学 ( C010501 )	李祥锴		兰州大学	59.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
稻田土壤甲基汞降解的微生物生态学机制	41877120	土壤污染与修复 ( D070107 )	刘玉荣		华中农业大学	62.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
营养调控肠道微生物组改善代谢性疾病	31922003	人体及动物微生物学 ( C010503 )	张晨虹		上海交通大学	120.00万元	优秀青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
耐海洋微生物腐蚀含铜不锈钢研究	U1906226	金属结构材料与力学行为 ( E0104 )	杨柯		中国科学院金属研究所	247.00万元	联合基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
微生物还原固化铀的修复机制研究	51974279	矿山修复工程 ( E0407 )	刘兴宇		有研工程技术研究院有限公司	60.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
基于微生物絮凝与微生物降解的水体污染控制策略研究---时滞与反应扩散动力学建模与数值分析	11971055	生物数学 ( A011403 )	马万彪		北京科技大学	52.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
微生物胞外聚合物的还原活性及其环境效应	21777002	土壤污染化学 ( B060104 )	朱东强	教授	北京大学	64.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	胞外聚合物；重金属；有机污染物；胞外还原反应	extracellular polymeric substances; heavy metal;organic contaminant;extracellular reductive reaction	胞外聚合物是构成生物膜的重要组成部分，对于微生物的表面附着性能和应对环境应力十分重要，但目前针对微生物胞外聚合物介导条件下环境污染物的氧化还原过程及其效应知之甚少。本项目计划选取典型氧化态重金属和有机污染物，综合运用批次反应实验以及先进分析方法和谱学表征手段，揭示微生胞外聚合物的还原活性与其组成和结构间的关系，剖析微生物胞外聚合物对污染物的胞外还原机制。预期研究结果对于深刻认识污染物-微生物界面作用机制、天然溶解态有机质的反应活性、以及微生物胞外电子传递这一重要环境地球化学过程将具有理论指导意义。	"Microbial extracellular polymeric substances (EPS) are a major component of biofilms and play a key role in cell surface attachment and microhabitat formation to protect cells from environmental stresses. Despite the potential importance, little is known about the EPS-mediated redox transformation of environmentally concerned chemicals and the associated biological effects. This project is planned to investigate the reductive reaction of a series of high-oxidation-state heavy metals and organic compounds by microbial EPS using a batch reaction system combined with advanced analytic and spectroscopic techniques. The main objectives of the study are to reveal the underlying extracellular reduction mechanisms of the selected chemical species and the quantitative relationship between the reduction activity of EPS and their structural properties. The results obtained from the project will provide a better understanding of the pollutant-microbe interfacial interaction, the reactivity of natural dissolved organic matter (NOM), as well as the extracellular electron transfer process which is essential to many environmental geochemical reactions."	
微生物运动高通量表征方法的建立和应用	31700087	微生物研究的其他新技术方法 ( C010403 )	倪磊	博士后	中国科学技术大学	25.00万元	青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	学科交叉研究微生物学研究新技术与新方法；抗细菌抗生素；生物被膜；蹭行运动；高通量分析方法	New interdisciplinary techniques for Microbial research ;antibiotics;biofilm;twitching motility;high throughtput analyzing method	细菌生物被膜的防治是关乎人类健康的重要课题，阐明生物被膜形成的机制对其防治具有重大意义。其中，蹭行运动在生物被膜形成过程中对初期细菌适应表面环境以及对后续生物被膜三维结构的形成起决定性作用。因此，蹭行运动的原位表征、量化是生物被膜形成机制研究中的重要科学问题之一，但目前仍缺少成熟完整的方法。针对以上问题，通过集成高通量数据采集、自动化图像处理、数据库建立以及图形化输出等技术，我们拟建立一整套快速、基于单细菌层面的方法实现对蹭行运动的高通量表征。利用所建立的方法，我们将在铜绿假单胞菌生物被膜形成过程中系统地研究、量化多种外源信号分子、胞内信号传导通路对蹭行运动的影响，从而进一步阐明蹭行运动的调节机制。再根据所发现的调节机制建立数学模型，并通过计算模拟的方法揭示蹭型运动在生物被膜形成各个阶段发挥的作用，从而最终为细菌生物被膜的防治奠定理论基础。	"Prevention of biofilm formation is an important, health-related and multidisciplinary research direction. Twitching motility plays essential and distinctive roles through different stages of biofilm formation, for example, at the early stage, twitching motility facilitates bacteria to adapt to surfaces. And at the later stage, twitching motility is required for mature biofilms to form mushroom-like structures. Therefore, twitching motility has received broadly attentions in recent years. However, the in situ method that can be applied to quantitatively characterize twitching motility during biofilm formation is quite limited. By using a combination of high-throughput data acquisition, automatic image processing, database establishment and big data visualization, here, we propose a novel method that can quantitatively characterize twitching motility in high throughput and in single-cell scale manners. Afterwards, we will systematically investigate how twitching motility responds to stimulation of various external signaling molecules or switches of specific internal signaling transduction pathways during the Pseudomonas aeruginosa biofilm formation. These results will help us to uncover the underlying mechanism by which bacteria deploy their motilities. Finally, we will investigate how these mechanisms affect biofilm formation using modeling and simulations."	
